A_M;Fecha_num;Infl_anual_porc
1/05/2045;53083;
1/06/2045;53114;
1/07/2045;53144;
1/08/2045;53175;
1/09/2045;53206;
1/10/2045;53236;
1/11/2045;53267;
1/12/2045;53297;
1/01/2046;53328;
1/02/2046;53359;
1/03/2046;53387;
1/04/2046;53418;
1/05/2046;53448;
1/06/2046;53479;
1/07/2046;53509;
1/08/2046;53540;
1/09/2046;53571;
1/10/2046;53601;
1/11/2046;53632;
1/12/2046;53662;
1/01/2047;53693;
1/02/2047;53724;
1/03/2047;53752;
1/04/2047;53783;
1/05/2047;53813;
1/06/2047;53844;
1/07/2047;53874;
1/08/2047;53905;
1/09/2047;53936;
1/10/2047;53966;
1/11/2047;53997;
1/12/2047;54027;
1/01/2048;54058;
1/02/2048;54089;
1/03/2048;54118;
1/04/2048;54149;
1/05/2048;54179;
1/06/2048;54210;
1/07/2048;54240;
1/08/2048;54271;
1/09/2048;54302;
1/10/2048;54332;
1/11/2048;54363;
1/12/2048;54393;
1/01/2049;54424;
1/02/2049;54455;
1/03/2049;54483;
1/04/2049;54514;
1/05/2049;54544;
1/06/2049;54575;
1/07/2049;54605;
1/08/2049;54636;
1/09/2049;54667;
1/10/2049;54697;
1/11/2049;54728;
1/12/2049;54758;
1/01/2050;54789;
1/02/2050;54820;
1/03/2050;54848;
1/04/2050;54879;
1/05/2050;54909;
1/06/2050;54940;
1/07/2050;54970;
1/08/2050;55001;
1/09/2050;55032;
1/10/2050;55062;
1/11/2050;55093;
1/12/2050;55123;
1/01/2051;55154;
1/02/2051;55185;
1/03/2051;55213;
1/04/2051;55244;
1/05/2051;55274;
1/06/2051;55305;
1/07/2051;55335;
1/08/2051;55366;
1/09/2051;55397;
1/10/2051;55427;
1/11/2051;55458;
1/12/2051;55488;
1/01/2052;55519;
1/02/2052;55550;
1/03/2052;55579;
1/04/2052;55610;
1/05/2052;55640;
1/06/2052;55671;
1/07/2052;55701;
1/08/2052;55732;
1/09/2052;55763;
1/10/2052;55793;
1/11/2052;55824;
1/12/2052;55854;
1/01/2053;55885;
1/02/2053;55916;
1/03/2053;55944;
1/04/2053;55975;
1/05/2053;56005;
1/06/2053;56036;
1/07/2053;56066;
1/08/2053;56097;
1/09/2053;56128;
1/10/2053;56158;
1/11/2053;56189;
1/12/2053;56219;
1/01/2054;56250;
1/02/2054;56281;
1/03/2054;56309;
1/04/2054;56340;
1/05/2054;56370;
1/06/2054;56401;
1/07/2054;56431;
1/08/2054;56462;
1/09/2054;56493;
1/10/2054;56523;
1/11/2054;56554;
1/12/2054;56584;
1/01/2055;56615;
1/02/2055;56646;
1/03/2055;56674;
1/04/2055;56705;
1/05/2055;56735;
1/06/2055;56766;
1/07/2055;56796;
1/08/2055;56827;
1/09/2055;56858;
1/10/2055;56888;
1/11/2055;56919;
1/12/2055;56949;
1/01/2056;56980;
1/02/2056;57011;
1/03/2056;57040;
1/04/2056;57071;
1/05/2056;57101;
1/06/2056;57132;
1/07/2056;57162;
1/08/2056;57193;
1/09/2056;57224;
1/10/2056;57254;
1/11/2056;57285;
1/12/2056;57315;
1/01/2057;57346;
1/02/2057;57377;
1/03/2057;57405;
1/04/2057;57436;
1/05/2057;57466;
1/06/2057;57497;
1/07/2057;57527;
1/08/2057;57558;
1/09/2057;57589;
1/10/2057;57619;
1/11/2057;57650;
1/12/2057;57680;
1/01/2058;57711;
1/02/2058;57742;
1/03/2058;57770;
1/04/2058;57801;
1/05/2058;57831;
1/06/2058;57862;
1/07/2058;57892;
1/08/2058;57923;
1/09/2058;57954;
1/10/2058;57984;
1/11/2058;58015;
1/12/2058;58045;
1/01/2059;58076;
1/02/2059;58107;
1/03/2059;58135;
1/04/2059;58166;
1/05/2059;58196;
1/06/2059;58227;
1/07/2059;58257;
1/08/2059;58288;
1/09/2059;58319;
1/10/2059;58349;
1/11/2059;58380;
1/12/2059;58410;
1/01/2060;58441;
1/02/2060;58472;
1/03/2060;58501;
1/04/2060;58532;
1/05/2060;58562;
1/06/2060;58593;
1/07/2060;58623;
1/08/2060;58654;
1/09/2060;58685;
1/10/2060;58715;
1/11/2060;58746;
1/12/2060;58776;
