A_M;Infl_anual_porc;;;;;;;;
1/06/1969;6.58;;;;;;;;
1/07/1969;6.16;;;;;;;;
1/08/1969;6.81;;;;;;;;
1/09/1969;7.35;;;;;;;;
1/10/1969;8.37;;;;;;;;
1/11/1969;7.89;;;;;;;;
1/12/1969;8.63;;;;;;;;
1/01/1970;7.36;;;;;;;;
1/02/1970;7.69;;;;;;;;
1/03/1970;7.72;;;;;;;;
1/04/1970;7.43;;;;;;;;
1/05/1970;7.01;;;;;;;;
1/06/1970;7.56;;;;;;;;
1/07/1970;7.44;;;;;;;;
1/08/1970;6.43;;;;;;;;
1/09/1970;6.51;;;;;;;;
1/10/1970;5.22;;;;;;;;
1/11/1970;6.12;;;;;;;;
1/12/1970;6.58;;;;;;;;
1/01/1971;8.26;;;;;;;;
1/02/1971;9.15;;;;;;;;
1/03/1971;9.3;;;;;;;;
1/04/1971;9.78;;;;;;;;
1/05/1971;10.54;;;;;;;;
1/06/1971;10;;;;;;;;
1/07/1971;11.19;;;;;;;;
1/08/1971;13.03;;;;;;;;
1/09/1971;13.14;;;;;;;;
1/10/1971;14.65;;;;;;;;
1/11/1971;14.6;;;;;;;;
1/12/1971;14.03;;;;;;;;
1/01/1972;13.5;;;;;;;;
1/02/1972;13.84;;;;;;;;
1/03/1972;13.83;;;;;;;;
1/04/1972;13.46;;;;;;;;
1/05/1972;13.02;;;;;;;;
1/06/1972;13.57;;;;;;;;
1/07/1972;13.34;;;;;;;;
1/08/1972;12.9;;;;;;;;
1/09/1972;13.6;;;;;;;;
1/10/1972;14.24;;;;;;;;
1/11/1972;14.31;;;;;;;;
1/12/1972;13.99;;;;;;;;
1/01/1973;13.95;;;;;;;;
1/02/1973;14.94;;;;;;;;
1/03/1973;17.75;;;;;;;;
1/04/1973;20.09;;;;;;;;
1/05/1973;22.7;;;;;;;;
1/06/1973;23.77;;;;;;;;
1/07/1973;24.78;;;;;;;;
1/08/1973;23.44;;;;;;;;
1/09/1973;23.36;;;;;;;;
1/10/1973;21.64;;;;;;;;
1/11/1973;22.89;;;;;;;;
1/12/1973;24.08;;;;;;;;
1/01/1974;26.28;;;;;;;;
1/02/1974;26.91;;;;;;;;
1/03/1974;26.7;;;;;;;;
1/04/1974;25.73;;;;;;;;
1/05/1974;23.53;;;;;;;;
1/06/1974;22.45;;;;;;;;
1/07/1974;21.2;;;;;;;;
1/08/1974;22.06;;;;;;;;
1/09/1974;22.26;;;;;;;;
1/10/1974;26.7;;;;;;;;
1/11/1974;25.42;;;;;;;;
1/12/1974;26.35;;;;;;;;
1/01/1975;26.36;;;;;;;;
1/02/1975;25.29;;;;;;;;
1/03/1975;24.63;;;;;;;;
1/04/1975;24.39;;;;;;;;
1/05/1975;25.18;;;;;;;;
1/06/1975;24.8;;;;;;;;
1/07/1975;24.36;;;;;;;;
1/08/1975;23.99;;;;;;;;
1/09/1975;23.75;;;;;;;;
1/10/1975;19.91;;;;;;;;
1/11/1975;19.25;;;;;;;;
1/12/1975;17.77;;;;;;;;
1/01/1976;17.11;;;;;;;;
1/02/1976;17.86;;;;;;;;
1/03/1976;17.12;;;;;;;;
1/04/1976;16.35;;;;;;;;
1/05/1976;15.69;;;;;;;;
1/06/1976;17.73;;;;;;;;
1/07/1976;20.08;;;;;;;;
1/08/1976;21.82;;;;;;;;
1/09/1976;22.27;;;;;;;;
1/10/1976;23.04;;;;;;;;
1/11/1976;25.31;;;;;;;;
1/12/1976;25.76;;;;;;;;
1/01/1977;25.72;;;;;;;;
1/02/1977;27.53;;;;;;;;
1/03/1977;29.91;;;;;;;;
1/04/1977;36.63;;;;;;;;
1/05/1977;40.85;;;;;;;;
1/06/1977;41.65;;;;;;;;
1/07/1977;39.45;;;;;;;;
1/08/1977;37.01;;;;;;;;
1/09/1977;34.87;;;;;;;;
1/10/1977;32.4;;;;;;;;
1/11/1977;29.44;;;;;;;;
1/12/1977;28.71;;;;;;;;
1/01/1978;27.22;;;;;;;;
1/02/1978;24.36;;;;;;;;
1/03/1978;23.4;;;;;;;;
1/04/1978;17.08;;;;;;;;
1/05/1978;14.75;;;;;;;;
1/06/1978;14.13;;;;;;;;
1/07/1978;12.69;;;;;;;;
1/08/1978;13.21;;;;;;;;
1/09/1978;13.53;;;;;;;;
1/10/1978;16.16;;;;;;;;
1/11/1978;17.62;;;;;;;;
1/12/1978;18.42;;;;;;;;
1/01/1979;21.04;;;;;;;;
1/02/1979;21.49;;;;;;;;
1/03/1979;22.53;;;;;;;;
1/04/1979;22.79;;;;;;;;
1/05/1979;22.61;;;;;;;;
1/06/1979;21.57;;;;;;;;
1/07/1979;23.47;;;;;;;;
1/08/1979;25.51;;;;;;;;
1/09/1979;27.71;;;;;;;;
1/10/1979;26.87;;;;;;;;
1/11/1979;28.15;;;;;;;;
1/12/1979;28.8;;;;;;;;
1/01/1980;27.59;;;;;;;;
1/02/1980;26.62;;;;;;;;
1/03/1980;24.2;;;;;;;;
1/04/1980;26.64;;;;;;;;
1/05/1980;28.27;;;;;;;;
1/06/1980;27.72;;;;;;;;
1/07/1980;27.37;;;;;;;;
1/08/1980;26.13;;;;;;;;
1/09/1980;25.49;;;;;;;;
1/10/1980;26.52;;;;;;;;
1/11/1980;26.2;;;;;;;;
1/12/1980;25.85;;;;;;;;
1/01/1981;25.67;;;;;;;;
1/02/1981;28;;;;;;;;
1/03/1981;28.82;;;;;;;;
1/04/1981;27.05;;;;;;;;
1/05/1981;26.02;;;;;;;;
1/06/1981;27.87;;;;;;;;
1/07/1981;28.93;;;;;;;;
1/08/1981;29.52;;;;;;;;
1/09/1981;28.33;;;;;;;;
1/10/1981;27.1;;;;;;;;
1/11/1981;26.35;;;;;;;;
1/12/1981;26.36;;;;;;;;
1/01/1982;26.03;;;;;;;;
1/02/1982;25.1;;;;;;;;
1/03/1982;24.55;;;;;;;;
1/04/1982;24.77;;;;;;;;
1/05/1982;24.78;;;;;;;;
1/06/1982;24.19;;;;;;;;
1/07/1982;23.54;;;;;;;;
1/08/1982;23.46;;;;;;;;
1/09/1982;24.52;;;;;;;;
1/10/1982;25.26;;;;;;;;
1/11/1982;24.79;;;;;;;;
1/12/1982;24.03;;;;;;;;
1/01/1983;23.08;;;;;;;;
1/02/1983;21.88;;;;;;;;
1/03/1983;21.85;;;;;;;;
1/04/1983;22.42;;;;;;;;
1/05/1983;22.28;;;;;;;;
1/06/1983;20.46;;;;;;;;
1/07/1983;19.82;;;;;;;;
1/08/1983;18.32;;;;;;;;
1/09/1983;17.42;;;;;;;;
1/10/1983;17.2;;;;;;;;
1/11/1983;17.04;;;;;;;;
1/12/1983;16.64;;;;;;;;
1/01/1984;17.02;;;;;;;;
1/02/1984;17.2;;;;;;;;
1/03/1984;16.64;;;;;;;;
1/04/1984;15.42;;;;;;;;
1/05/1984;14.16;;;;;;;;
1/06/1984;15.17;;;;;;;;
1/07/1984;15.67;;;;;;;;
1/08/1984;16.19;;;;;;;;
1/09/1984;16.51;;;;;;;;
1/10/1984;15.27;;;;;;;;
1/11/1984;16.39;;;;;;;;
1/12/1984;18.28;;;;;;;;
1/01/1985;19.27;;;;;;;;
1/02/1985;21.24;;;;;;;;
1/03/1985;22.82;;;;;;;;
1/04/1985;23.81;;;;;;;;
1/05/1985;27.61;;;;;;;;
1/06/1985;27.91;;;;;;;;
1/07/1985;25.64;;;;;;;;
1/08/1985;24.67;;;;;;;;
1/09/1985;24.4;;;;;;;;
1/10/1985;24.77;;;;;;;;
1/11/1985;23.49;;;;;;;;
1/12/1985;22.45;;;;;;;;
1/01/1986;23.55;;;;;;;;
1/02/1986;23.72;;;;;;;;
1/03/1986;22.65;;;;;;;;
1/04/1986;22.54;;;;;;;;
1/05/1986;16.4;;;;;;;;
1/06/1986;13.46;;;;;;;;
1/07/1986;14.11;;;;;;;;
1/08/1986;16.17;;;;;;;;
1/09/1986;16.79;;;;;;;;
1/10/1986;18.17;;;;;;;;
1/11/1986;19.54;;;;;;;;
1/12/1986;20.95;;;;;;;;
1/01/1987;21.09;;;;;;;;
1/02/1987;19.77;;;;;;;;
1/03/1987;20.36;;;;;;;;
1/04/1987;19.8;;;;;;;;
1/05/1987;22.73;;;;;;;;
1/06/1987;24.81;;;;;;;;
1/07/1987;26.65;;;;;;;;
1/08/1987;25.27;;;;;;;;
1/09/1987;25.01;;;;;;;;
1/10/1987;24.8;;;;;;;;
1/11/1987;24.73;;;;;;;;
1/12/1987;24.02;;;;;;;;
1/01/1988;23.7;;;;;;;;
1/02/1988;26.13;;;;;;;;
1/03/1988;26.36;;;;;;;;
1/04/1988;28.41;;;;;;;;
1/05/1988;28.44;;;;;;;;
1/06/1988;30.27;;;;;;;;
1/07/1988;30.26;;;;;;;;
1/08/1988;29.65;;;;;;;;
1/09/1988;29;;;;;;;;
1/10/1988;28.59;;;;;;;;
1/11/1988;27.68;;;;;;;;
1/12/1988;28.12;;;;;;;;
1/01/1989;27.91;;;;;;;;
1/02/1989;27.03;;;;;;;;
1/03/1989;26.53;;;;;;;;
1/04/1989;24.85;;;;;;;;
1/05/1989;24.88;;;;;;;;
1/06/1989;23.63;;;;;;;;
1/07/1989;23.76;;;;;;;;
1/08/1989;25.69;;;;;;;;
1/09/1989;26.55;;;;;;;;
1/10/1989;26.61;;;;;;;;
1/11/1989;27.09;;;;;;;;
1/12/1989;26.12;;;;;;;;
1/01/1990;26.69;;;;;;;;
1/02/1990;27.12;;;;;;;;
1/03/1990;27.63;;;;;;;;
1/04/1990;27.98;;;;;;;;
1/05/1990;28.24;;;;;;;;
1/06/1990;28.97;;;;;;;;
1/07/1990;28.72;;;;;;;;
1/08/1990;28.98;;;;;;;;
1/09/1990;30.24;;;;;;;;
1/10/1990;30.65;;;;;;;;
1/11/1990;30.97;;;;;;;;
1/12/1990;32.36;;;;;;;;
1/01/1991;31.98;;;;;;;;
1/02/1991;31.65;;;;;;;;
1/03/1991;31.18;;;;;;;;
1/04/1991;31.16;;;;;;;;
1/05/1991;31.49;;;;;;;;
1/06/1991;31;;;;;;;;
1/07/1991;31.6;;;;;;;;
1/08/1991;31.2;;;;;;;;
1/09/1991;30.01;;;;;;;;
1/10/1991;29.25;;;;;;;;
1/11/1991;28.22;;;;;;;;
1/12/1991;26.82;;;;;;;;
1/01/1992;27.43;;;;;;;;
1/02/1992;27.35;;;;;;;;
1/03/1992;27.08;;;;;;;;
1/04/1992;27.15;;;;;;;;
1/05/1992;27.3;;;;;;;;
1/06/1992;28.13;;;;;;;;
1/07/1992;28.36;;;;;;;;
1/08/1992;27.7;;;;;;;;
1/09/1992;26.92;;;;;;;;
1/10/1992;26.32;;;;;;;;
1/11/1992;25.7;;;;;;;;
1/12/1992;25.13;;;;;;;;
1/01/1993;24.82;;;;;;;;
1/02/1993;24.71;;;;;;;;
1/03/1993;24.18;;;;;;;;
1/04/1993;23.08;;;;;;;;
1/05/1993;22.21;;;;;;;;
1/06/1993;21.38;;;;;;;;
1/07/1993;20.46;;;;;;;;
1/08/1993;21.07;;;;;;;;
1/09/1993;21.43;;;;;;;;
1/10/1993;21.69;;;;;;;;
1/11/1993;22.37;;;;;;;;
1/12/1993;22.6;;;;;;;;
1/01/1994;22.5;;;;;;;;
1/02/1994;23.01;;;;;;;;
1/03/1994;23.41;;;;;;;;
1/04/1994;23.94;;;;;;;;
1/05/1994;23.86;;;;;;;;
1/06/1994;23.08;;;;;;;;
1/07/1994;22.69;;;;;;;;
1/08/1994;22.35;;;;;;;;
1/09/1994;22.31;;;;;;;;
1/10/1994;22.37;;;;;;;;
1/11/1994;22.16;;;;;;;;
1/12/1994;22.59;;;;;;;;
1/01/1995;21.04;;;;;;;;
1/02/1995;20.86;;;;;;;;
1/03/1995;21.33;;;;;;;;
1/04/1995;21.17;;;;;;;;
1/05/1995;21.3;;;;;;;;
1/06/1995;21.66;;;;;;;;
1/07/1995;21.5;;;;;;;;
1/08/1995;21.09;;;;;;;;
1/09/1995;20.79;;;;;;;;
1/10/1995;20.52;;;;;;;;
1/11/1995;20.13;;;;;;;;
1/12/1995;19.46;;;;;;;;
1/01/1996;20.24;;;;;;;;
1/02/1996;20.81;;;;;;;;
1/03/1996;20.2;;;;;;;;
1/04/1996;19.9;;;;;;;;
1/05/1996;19.78;;;;;;;;
1/06/1996;19.7;;;;;;;;
1/07/1996;20.57;;;;;;;;
1/08/1996;21.13;;;;;;;;
1/09/1996;21.55;;;;;;;;
1/10/1996;21.87;;;;;;;;
1/11/1996;21.88;;;;;;;;
1/12/1996;21.63;;;;;;;;
1/01/1997;20.62;;;;;;;;
1/02/1997;19.58;;;;;;;;
1/03/1997;18.93;;;;;;;;
1/04/1997;18.52;;;;;;;;
1/05/1997;18.6;;;;;;;;
1/06/1997;18.67;;;;;;;;
1/07/1997;17.88;;;;;;;;
1/08/1997;17.93;;;;;;;;
1/09/1997;18.01;;;;;;;;
1/10/1997;17.8;;;;;;;;
1/11/1997;17.81;;;;;;;;
1/12/1997;17.68;;;;;;;;
1/01/1998;17.84;;;;;;;;
1/02/1998;18.03;;;;;;;;
1/03/1998;19.24;;;;;;;;
1/04/1998;20.74;;;;;;;;
1/05/1998;20.67;;;;;;;;
1/06/1998;20.69;;;;;;;;
1/07/1998;20.27;;;;;;;;
1/08/1998;18.94;;;;;;;;
1/09/1998;17.8;;;;;;;;
1/10/1998;17.09;;;;;;;;
1/11/1998;16.35;;;;;;;;
1/12/1998;16.7;;;;;;;;
1/01/1999;17.18;;;;;;;;
1/02/1999;15.38;;;;;;;;
1/03/1999;13.51;;;;;;;;
1/04/1999;11.17;;;;;;;;
1/05/1999;9.98;;;;;;;;
1/06/1999;8.96;;;;;;;;
1/07/1999;8.78;;;;;;;;
1/08/1999;9.28;;;;;;;;
1/09/1999;9.33;;;;;;;;
1/10/1999;9.32;;;;;;;;
1/11/1999;9.65;;;;;;;;
1/12/1999;9.23;;;;;;;;
1/01/2000;8.25;;;;;;;;
1/02/2000;8.89;;;;;;;;
1/03/2000;9.73;;;;;;;;
1/04/2000;9.96;;;;;;;;
