Fecha;TRM
18/07/2020;$ 3,651.93
19/07/2020;$ 3,651.93
20/07/2020;$ 3,651.93
21/07/2020;$ 3,651.93
22/07/2020;$ 3,628.20
23/07/2020;$ 3,627.28
24/07/2020;$ 3,660.15
25/07/2020;$ 3,690.80
26/07/2020;$ 3,690.80
27/07/2020;$ 3,690.80
28/07/2020;$ 3,679.17
29/07/2020;$ 3,718.69
30/07/2020;$ 3,716.89
31/07/2020;$ 3,739.49
01/08/2020;$ 3,733.08
02/08/2020;$ 3,733.08
03/08/2020;$ 3,733.08
04/08/2020;$ 3,768.39
05/08/2020;$ 3,792.98
06/08/2020;$ 3,775.95
07/08/2020;$ 3,769.67
08/08/2020;$ 3,769.67
09/08/2020;$ 3,769.67
10/08/2020;$ 3,769.67
11/08/2020;$ 3,770.22
12/08/2020;$ 3,749.30
13/08/2020;$ 3,755.61
14/08/2020;$ 3,767.05
15/08/2020;$ 3,783.15
16/08/2020;$ 3,783.15
17/08/2020;$ 3,783.15
18/08/2020;$ 3,783.15
19/08/2020;$ 3,784.15
20/08/2020;$ 3,766.73
21/08/2020;$ 3,792.13
22/08/2020;$ 3,827.27
23/08/2020;$ 3,827.27
24/08/2020;$ 3,827.27
25/08/2020;$ 3,843.69
26/08/2020;$ 3,867.32
27/08/2020;$ 3,846.64
28/08/2020;$ 3,820.17
29/08/2020;$ 3,760.38
30/08/2020;$ 3,760.38
31/08/2020;$ 3,760.38
01/09/2020;$ 3,745.41
02/09/2020;$ 3,683.28
03/09/2020;$ 3,653.70
04/09/2020;$ 3,653.23
05/09/2020;$ 3,702.62
06/09/2020;$ 3,702.62
07/09/2020;$ 3,702.62
08/09/2020;$ 3,702.62
09/09/2020;$ 3,757.21
10/09/2020;$ 3,717.25
11/09/2020;$ 3,700.28
12/09/2020;$ 3,709.00
13/09/2020;$ 3,709.00
14/09/2020;$ 3,709.00
15/09/2020;$ 3,697.00
16/09/2020;$ 3,683.49
17/09/2020;$ 3,703.86
18/09/2020;$ 3,714.65
19/09/2020;$ 3,725.37
20/09/2020;$ 3,725.37
21/09/2020;$ 3,725.37
22/09/2020;$ 3,790.54
23/09/2020;$ 3,813.30
24/09/2020;$ 3,863.60
25/09/2020;$ 3,873.80
26/09/2020;$ 3,867.81
27/09/2020;$ 3,867.81
28/09/2020;$ 3,867.81
29/09/2020;$ 3,859.90
30/09/2020;$ 3,878.94
01/10/2020;$ 3,865.47
02/10/2020;$ 3,842.34
03/10/2020;$ 3,881.80
04/10/2020;$ 3,881.80
05/10/2020;$ 3,881.80
06/10/2020;$ 3,843.75
07/10/2020;$ 3,826.77
08/10/2020;$ 3,837.79
09/10/2020;$ 3,839.73
10/10/2020;$ 3,824.25
11/10/2020;$ 3,824.25
12/10/2020;$ 3,824.25
13/10/2020;$ 3,824.25
14/10/2020;$ 3,856.32
15/10/2020;$ 3,843.59
16/10/2020;$ 3,854.47
17/10/2020;$ 3,846.48
18/10/2020;$ 3,846.48
19/10/2020;$ 3,846.48
20/10/2020;$ 3,842.76
21/10/2020;$ 3,830.79
22/10/2020;$ 3,784.51
23/10/2020;$ 3,776.73
24/10/2020;$ 3,782.66
25/10/2020;$ 3,782.66
26/10/2020;$ 3,782.66
27/10/2020;$ 3,812.82
28/10/2020;$ 3,810.23
29/10/2020;$ 3,841.46
30/10/2020;$ 3,849.53
31/10/2020;$ 3,858.56
01/11/2020;$ 3,858.56
02/11/2020;$ 3,858.56
03/11/2020;$ 3,858.56
04/11/2020;$ 3,823.45
05/11/2020;$ 3,807.13
06/11/2020;$ 3,763.82
07/11/2020;$ 3,738.19
08/11/2020;$ 3,738.19
09/11/2020;$ 3,738.19
10/11/2020;$ 3,646.15
11/11/2020;$ 3,650.50
12/11/2020;$ 3,650.50
13/11/2020;$ 3,646.22
14/11/2020;$ 3,639.95
15/11/2020;$ 3,639.95
16/11/2020;$ 3,639.95
17/11/2020;$ 3,639.95
18/11/2020;$ 3,635.19
19/11/2020;$ 3,647.73
20/11/2020;$ 3,647.10
21/11/2020;$ 3,649.90
22/11/2020;$ 3,649.90
23/11/2020;$ 3,649.90
24/11/2020;$ 3,632.92
25/11/2020;$ 3,643.24
26/11/2020;$ 3,620.39
27/11/2020;$ 3,620.39
28/11/2020;$ 3,611.44
29/11/2020;$ 3,611.44
30/11/2020;$ 3,611.44
01/12/2020;$ 3,591.84
02/12/2020;$ 3,558.57
03/12/2020;$ 3,533.21
04/12/2020;$ 3,481.44
05/12/2020;$ 3,467.49
06/12/2020;$ 3,467.49
07/12/2020;$ 3,467.49
08/12/2020;$ 3,487.65
09/12/2020;$ 3,487.65
10/12/2020;$ 3,465.76
11/12/2020;$ 3,448.89
12/12/2020;$ 3,433.45
13/12/2020;$ 3,433.45
14/12/2020;$ 3,433.45
15/12/2020;$ 3,426.97
16/12/2020;$ 3,422.44
17/12/2020;$ 3,416.21
18/12/2020;$ 3,410.82
19/12/2020;$ 3,420.26
20/12/2020;$ 3,420.26
21/12/2020;$ 3,420.26
22/12/2020;$ 3,442.41
23/12/2020;$ 3,444.90
24/12/2020;$ 3,482.51
25/12/2020;$ 3,493.77
26/12/2020;$ 3,493.77
27/12/2020;$ 3,493.77
28/12/2020;$ 3,493.77
29/12/2020;$ 3,495.39
30/12/2020;$ 3,482.10
31/12/2020;$ 3,432.50
01/01/2021;$ 3,432.50
02/01/2021;$ 3,432.50
03/01/2021;$ 3,432.50
04/01/2021;$ 3,432.50
05/01/2021;$ 3,420.78
06/01/2021;$ 3,450.74
07/01/2021;$ 3,428.04
08/01/2021;$ 3,459.39
09/01/2021;$ 3,478.11
10/01/2021;$ 3,478.11
11/01/2021;$ 3,478.11
12/01/2021;$ 3,478.11
13/01/2021;$ 3,487.65
14/01/2021;$ 3,478.36
15/01/2021;$ 3,469.76
16/01/2021;$ 3,466.80
17/01/2021;$ 3,466.80
18/01/2021;$ 3,466.80
19/01/2021;$ 3,466.80
20/01/2021;$ 3,482.03
21/01/2021;$ 3,476.19
22/01/2021;$ 3,477.48
23/01/2021;$ 3,525.25
24/01/2021;$ 3,525.25
25/01/2021;$ 3,525.25
26/01/2021;$ 3,582.41
27/01/2021;$ 3,591.48
28/01/2021;$ 3,636.91
29/01/2021;$ 3,585.44
30/01/2021;$ 3,559.46
31/01/2021;$ 3,559.46
01/02/2021;$ 3,559.46
02/02/2021;$ 3,561.37
03/02/2021;$ 3,534.99
04/02/2021;$ 3,522.57
05/02/2021;$ 3,558.63
06/02/2021;$ 3,543.28
07/02/2021;$ 3,543.28
08/02/2021;$ 3,543.28
09/02/2021;$ 3,554.65
10/02/2021;$ 3,583.23
11/02/2021;$ 3,557.16
12/02/2021;$ 3,525.45
13/02/2021;$ 3,515.65
14/02/2021;$ 3,515.65
15/02/2021;$ 3,515.65
16/02/2021;$ 3,515.65
17/02/2021;$ 3,518.19
18/02/2021;$ 3,545.84
19/02/2021;$ 3,537.86
20/02/2021;$ 3,555.40
21/02/2021;$ 3,555.40
22/02/2021;$ 3,555.40
23/02/2021;$ 3,602.41
24/02/2021;$ 3,590.37
25/02/2021;$ 3,578.29
26/02/2021;$ 3,588.23
27/02/2021;$ 3,624.39
28/02/2021;$ 3,624.39
01/03/2021;$ 3,624.39
02/03/2021;$ 3,622.36
03/03/2021;$ 3,646.61
04/03/2021;$ 3,676.94
05/03/2021;$ 3,647.99
06/03/2021;$ 3,640.20
07/03/2021;$ 3,640.20
08/03/2021;$ 3,640.20
09/03/2021;$ 3,623.61
10/03/2021;$ 3,598.77
11/03/2021;$ 3,561.91
12/03/2021;$ 3,534.62
13/03/2021;$ 3,575.30
14/03/2021;$ 3,575.30
15/03/2021;$ 3,575.30
16/03/2021;$ 3,575.63
